rank	kind	normalized	sample	frequency	document_frequency	candidate_lexeme_ids	suggested_action
451	unknown-lexeme	слꙋжатъ	слꙋ́жатъ	63	63		review the token against target-recension evidence and create or reject a lexical candidate
452	unknown-lexeme	сп҃се	сп҃сѐ	63	63		review the token against target-recension evidence and create or reject a lexical candidate
453	unknown-lexeme	чꙋждихъ	чꙋжди́хъ	63	63		review the token against target-recension evidence and create or reject a lexical candidate
454	unknown-lexeme	земныхъ	земны́хъ	63	61		review the token against target-recension evidence and create or reject a lexical candidate
455	unknown-lexeme	бываютъ	быва́ютъ	63	60		review the token against target-recension evidence and create or reject a lexical candidate
456	unknown-lexeme	прейдетъ	пре́йдетъ	63	57		review the token against target-recension evidence and create or reject a lexical candidate
457	unknown-lexeme	ассѷрійска	а҆ссѷрі́йска	62	62		review the token against target-recension evidence and create or reject a lexical candidate
458	unknown-lexeme	возмогоша	возмого́ша	62	62		review the token against target-recension evidence and create or reject a lexical candidate
459	unknown-lexeme	изберетъ	и҆збере́тъ	62	62		review the token against target-recension evidence and create or reject a lexical candidate
460	unknown-lexeme	мышцею	мы́шцею	62	62		review the token against target-recension evidence and create or reject a lexical candidate
461	unknown-lexeme	радоватисѧ	ра́доватисѧ	62	62		review the token against target-recension evidence and create or reject a lexical candidate
462	unknown-lexeme	создати	созда́ти	62	62		review the token against target-recension evidence and create or reject a lexical candidate
463	missing-accent-or-orthographic-metadata	живꙋ	жи́вꙋ	62	62	synodal:adjective:wikt-804d9a9cde41,synodal:verb:v06-bba31c88723cae5c	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
464	unknown-lexeme	погꙋбленїе	погꙋбле́нїе	62	61		review the token against target-recension evidence and create or reject a lexical candidate
465	unknown-lexeme	оучастїе	ᲂу҆ча́стїе	62	60		review the token against target-recension evidence and create or reject a lexical candidate
466	unknown-lexeme	слꙋженїе	слꙋже́нїе	62	60		review the token against target-recension evidence and create or reject a lexical candidate
467	unknown-lexeme	оукоризнꙋ	ᲂу҆кори́знꙋ	62	58		review the token against target-recension evidence and create or reject a lexical candidate
468	ambiguity-or-spelling-variant	иномꙋ	и҆но́мꙋ	62	58	synodal:pronoun:inyi,synodal:pronoun:wikt-abc6b7472112	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
469	unknown-lexeme	могꙋтъ	мо́гꙋтъ	62	57		review the token against target-recension evidence and create or reject a lexical candidate
470	unknown-lexeme	матѳ	Матѳ	61	61		review the token against target-recension evidence and create or reject a lexical candidate
471	unknown-lexeme	превозносите	превозноси́те	61	61		review the token against target-recension evidence and create or reject a lexical candidate
472	unknown-lexeme	воздаѧнїе	воздаѧ́нїе	61	59		review the token against target-recension evidence and create or reject a lexical candidate
473	unknown-lexeme	ровъ	ро́въ	61	57		review the token against target-recension evidence and create or reject a lexical candidate
474	unknown-lexeme	антїохъ	а҆нтїо́хъ	60	60		review the token against target-recension evidence and create or reject a lexical candidate
475	unknown-lexeme	безꙋмныхъ	безꙋ́мныхъ	60	60		review the token against target-recension evidence and create or reject a lexical candidate
476	unknown-lexeme	венїаміни	венїамі́ни	60	60		review the token against target-recension evidence and create or reject a lexical candidate
477	unknown-lexeme	вонми	вонмѝ	60	60		review the token against target-recension evidence and create or reject a lexical candidate
478	unknown-lexeme	высѡкаѧ	высѡ́каѧ	60	60		review the token against target-recension evidence and create or reject a lexical candidate
479	unknown-lexeme	крѣпкїй	крѣ́пкїй	60	60		review the token against target-recension evidence and create or reject a lexical candidate
480	unknown-lexeme	навꙋходоносора	навꙋходоно́сора	60	60		review the token against target-recension evidence and create or reject a lexical candidate
481	unknown-lexeme	помышленїе	помышле́нїе	60	60		review the token against target-recension evidence and create or reject a lexical candidate
482	unknown-lexeme	послетъ	по́слетъ	60	60		review the token against target-recension evidence and create or reject a lexical candidate
483	unknown-lexeme	совѣта	совѣ́та	60	60		review the token against target-recension evidence and create or reject a lexical candidate
484	unknown-lexeme	ѳѷмїама	ѳѷмїа́ма	60	60		review the token against target-recension evidence and create or reject a lexical candidate
485	unknown-lexeme	ѻзіа	ѻ҆зі́а	60	60		review the token against target-recension evidence and create or reject a lexical candidate
486	unknown-lexeme	ѻтрочищь	ѻ҆́трочищь	60	60		review the token against target-recension evidence and create or reject a lexical candidate
487	unknown-lexeme	наказанїѧ	наказа́нїѧ	60	59		review the token against target-recension evidence and create or reject a lexical candidate
488	unknown-lexeme	воздвигоша	воздвиго́ша	60	58		review the token against target-recension evidence and create or reject a lexical candidate
489	unknown-lexeme	возлюбихъ	возлюби́хъ	60	58		review the token against target-recension evidence and create or reject a lexical candidate
490	unknown-lexeme	пожре	пожрѐ	60	58		review the token against target-recension evidence and create or reject a lexical candidate
491	unknown-lexeme	пойдеши	по́йдеши	60	58		review the token against target-recension evidence and create or reject a lexical candidate
492	unknown-lexeme	поставихъ	поста́вихъ	60	58		review the token against target-recension evidence and create or reject a lexical candidate
493	unknown-lexeme	самарію	самарі́ю	60	58		review the token against target-recension evidence and create or reject a lexical candidate
494	unknown-lexeme	єфремли	є҆фре́мли	60	58		review the token against target-recension evidence and create or reject a lexical candidate
495	unknown-lexeme	ѕлобꙋ	ѕло́бꙋ	60	58		review the token against target-recension evidence and create or reject a lexical candidate
496	unknown-lexeme	єсѳирь	є҆сѳи́рь	60	57		review the token against target-recension evidence and create or reject a lexical candidate
497	unknown-lexeme	верєи	верєѝ	60	56		review the token against target-recension evidence and create or reject a lexical candidate
498	unknown-lexeme	вложи	вложѝ	60	56		review the token against target-recension evidence and create or reject a lexical candidate
499	unknown-lexeme	семей	семе́й	60	56		review the token against target-recension evidence and create or reject a lexical candidate
500	unknown-lexeme	десница	десни́ца	60	54		review the token against target-recension evidence and create or reject a lexical candidate
