rank	frequency	lemma	printed	part_of_speech	cell	gloss	semantic_candidate_id	attestation_candidate_id	passage	context	decision	review_reason
586	12	краеградїе	краегра́дїе	unknown	untyped	кремль, городская крепость	synodal:candidate:f85dbaf209c670bc22fb25ef	synodal:candidate:702eddd4ee3873b96d7b844c	III_Kings.2.35	И҆ поста́ви ца́рь соломѡ́нъ ване́а сы́на і҆ѡда́ева вмѣ́стѡ є҆гѡ̀ над̾ во́инствомъ: ца́рство же ᲂу҆правлѧ́шесѧ во і҆ерⷭ҇ли́мѣ. И҆ садѡ́ка і҆ере́а дадѐ соломѡ́нъ ца́рь во і҆ере́а пе́рваго вмѣ́стѡ а҆вїа́ѳара. И҆ дадѐ гдⷭ҇ь смы́слъ соломѡ́нꙋ и҆ премꙋ́дрость мно́гꙋ ѕѣлѡ̀, и҆ широтꙋ̀ се́рдца, ꙗ҆́коже песо́къ и҆́же при мо́ри: и҆ и҆спо́лнисѧ ра́зꙋма соломѡ́нъ па́че ра́зꙋма всѣ́хъ дре́внихъ сынѡ́въ и҆ па́че всѣ́хъ мꙋ́дрыхъ є҆гѵ́петскихъ. И҆ поѧ́тъ дще́рь фараѡ́ню, и҆ введѐ ю҆̀ во гра́дъ даві́довъ, до́ндеже сконча̀ себѣ̀ зда́ти до́мъ сво́й, и҆ до́мъ гдⷭ҇ень въ пе́рвыхъ, и҆ стѣ́нꙋ і҆ерⷭ҇ли́ма ѡ҆́крестъ: въ се́дмь лѣ́тъ сотворѝ и҆ сконча̀. И҆ бѧ́ше ᲂу҆ соломѡ́на се́дмьдесѧтъ ты́сѧщъ (мꙋже́й) носѧ́щихъ бремена̀, и҆ ѻ҆́смьдесѧтъ ты́сѧщъ каменосѣ́чцєвъ въ горѣ̀. И҆ сотворѝ соломѡ́нъ мо́ре, и҆ подкрѣплє́нїѧ, и҆ ба̑ни вели̑кїѧ, и҆ столпы̀, и҆ и҆сто́чникъ дво́рный, и҆ мо́ре мѣ́дѧное: и҆ созда̀ краегра́дїе, и҆ забра̑ла над̾ ни́мъ, и҆ разсѣчѐ гра́дъ даві́довъ. Та́кѡ дщѝ фараѡ́нѧ пре́йде ѿ гра́да даві́дова въ до́мъ сво́й, є҆го́же созда̀ є҆́й: тогда̀ созда̀ краегра́дїе. И҆ соломѡ́нъ возноша́ше три́жды въ лѣ́то всесожжє́нїѧ и҆ ми̑рнаѧ на ѻ҆лта́рь, є҆го́же созда̀ гдⷭ҇еви, и҆ кадѧ́ше пред̾ гдⷭ҇емъ, и҆ совершѝ до́мъ. И҆ сі́и старѣ̑йшины приста́влени над̾ дѣла́ми соломѡ́ними, трѝ ты́сѧщы и҆ ше́сть сѡ́тъ приста̑вникъ за людьмѝ дѣ́лающими дѣ́ло. И҆ созда̀ а҆ссꙋ́ръ, и҆ магдѡ́нъ и҆ газе́ръ, и҆ веѳѡрѡ́нъ вы́шнїй и҆ валала́ѳъ: ѻ҆ба́че по созда́нїи до́мꙋ гдⷭ҇нѧ и҆ стѣны̀ і҆ерⷭ҇ли́мскїѧ ѡ҆́крестъ, по си́хъ созда̀ гра́ды сїѧ̑. И҆ є҆щѐ жи́въ сы́й даві́дъ, заповѣ́да соломѡ́нꙋ глаго́лѧ: сѐ, съ тобо́ю семе́й сы́нъ гира́нь, сы́нъ сѣ́мене і҆емені́ина, ѿ хеврѡ́на: се́й клѧ́ше мѧ̀ клѧ́твою ᲂу҆кори́зненною, въ де́нь во́ньже и҆до́хъ въ полкѝ: и҆ то́й сни́де въ срѣ́тенїе мѝ на і҆ѻрда́нъ, и҆ клѧ́хсѧ є҆мꙋ̀ гдⷭ҇емъ, глаго́лѧ, ꙗ҆́кѡ не ᲂу҆мерщвлю̀ є҆го̀ ѻ҆рꙋ́жїемъ: и҆ нн҃ѣ да не ѡ҆безвини́ши є҆го̀, ꙗ҆́кѡ мꙋ́жъ смы́сленъ є҆сѝ ты̀, и҆ разꙋмѣ́еши ꙗ҆̀же сотвори́ши є҆мꙋ̀, и҆ сведе́ши ста́рость є҆гѡ̀ съ кро́вїю во а҆́дъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
587	12	лѣпо	лѣ́по	unknown	untyped	Красиво, пристойно	synodal:candidate:16f536d9b43b356f134d61e7	synodal:candidate:a02ab663a171e83994e109b4	Acts.10.28	рече́ же къ ни̑мъ: вы̀ вѣ́сте, ꙗ҆́кѡ не лѣ́по є҆́сть мꙋ́жꙋ і҆ꙋде́анинꙋ прилѣплѧ́тисѧ и҆лѝ приходи́ти ко и҆ноплеме́нникꙋ: и҆ мнѣ̀ бг҃ъ показа̀ ни є҆ди́наго скве́рна и҆лѝ нечи́ста глаго́лати человѣ́ка:	blocked-ambiguous-homograph	multiple mixed-recension Ponomar dictionary identities share this headword; target identity, part of speech, and cell require contextual adjudication
588	12	марїамъ	марїа́мъ	unknown	untyped	Мариам	synodal:candidate:742cfd68d1ca75dd3413833c	synodal:candidate:0088d10ebb6d537b208dbb44	Ex.15.21	преднача́ же и҆̀мъ марїа́мъ, глаго́лющи: пои́мъ гдⷭ҇еви, сла́внѡ бо просла́висѧ: конѧ̀ и҆ вса́дника вве́рже въ мо́ре.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
589	12	молюсѧ	молю́сѧ	unknown	untyped	обет даю	synodal:candidate:318a27c690b7a8276753a68f	synodal:candidate:c687b8a3023d9d96038d8c64	Acts.26.3	па́че же вѣ́дца тѧ̀ сꙋ́ща свѣ́дый всѣ́хъ і҆ꙋде́йскихъ ѡ҆бы́чаєвъ и҆ взыска́нїй. Тѣ́мже молю́сѧ тѝ долготерпѣли́внѡ послꙋ́шати менє̀.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
590	12	мысль	мы́сль	unknown	untyped	размышление, рассуждение, 2. воля, разум, расположение духа	synodal:candidate:51735e965c5e254e20c41db5	synodal:candidate:d0d43f3e4dbeb73eafd60d71	Esther.5.6	На пирꙋ́ же речѐ ца́рь ко є҆сѳи́ри: что́ є҆сть, є҆сѳи́ре цари́це; (и҆ ка́ѧ є҆́сть мы́сль проше́нїѧ твоегѡ̀; да́мъ тѝ и҆ до полꙋца́рства моегѡ̀,) и҆ бꙋ́детъ є҆ли́кѡ проси́ши.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
591	12	навꙋзарданъ	навꙋзарда́нъ	unknown	untyped	Навузардан, начальник телохранителей Навуходоносора	synodal:candidate:ce7ef35eda86f42d223c4217	synodal:candidate:f05da9f3c7420b2a1a5b7794	IV_Kings.25.8	Въ мцⷭ҇ъ же пѧ́тый, въ седмы́й де́нь мцⷭ҇а, сїѐ лѣ́то девѧтоена́десѧть навꙋходоно́сора царѧ̀ вавѷлѡ́нска, прїи́де навꙋзарда́нъ а҆рхїмагі́ръ, ра́бъ царѧ̀ вавѷлѡ́нскагѡ, во і҆ерⷭ҇ли́мъ	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
592	12	наипаче	наипа́че	unknown	untyped	Более всего, особенно	synodal:candidate:b42e7a009262bc39813267bc	synodal:candidate:2907f4171d1f23fccab2bb68	Acts.20.38	скорбѧ́ще наипа́че ѡ҆ словесѝ, є҆́же речѐ, ꙗ҆́кѡ ктомꙋ̀ не и҆́мꙋтъ лица̀ є҆гѡ̀ ᲂу҆зрѣ́ти. Провожда́хꙋ же є҆го̀ въ кора́бль.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
593	12	нефѳалімъ	нефѳалі́мъ	unknown	untyped	Неффалим, пятый сын Иакова	synodal:candidate:143ab18cae702d8abc08086f	synodal:candidate:12383721f9dc4e8beea9a180	Deut.27.13	и҆ сі́и да ста́нꙋтъ на клѧ́твꙋ на горѣ̀ гева́лъ: рꙋви́мъ, га́дъ и҆ а҆си́ръ, завꙋлѡ́нъ, да́нъ и҆ нефѳалі́мъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
594	12	неѡбрѣзанїе	неѡбрѣ́занїе	unknown	untyped	необрезанные, язычники	synodal:candidate:f38aaa89ce9f4e5a530487fc	synodal:candidate:9e1f631b758761f2d0dd8519	Col.3.11	и҆дѣ́же нѣ́сть є҆́ллинъ, ни і҆ꙋде́й, ѡ҆брѣ́занїе и҆ неѡбрѣ́занїе, ва́рваръ и҆ скѵ́ѳъ, ра́бъ и҆ свобо́дь, но всѧ́чєскаѧ и҆ во всѣ́хъ хрⷭ҇то́съ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
595	12	подложница	подло́жница	unknown	untyped	наложница	synodal:candidate:f8dbc6b3a944291427e87406	synodal:candidate:6df029eb86d5faf866744308	II_Kings.3.7	И҆ саꙋ́лова подло́жница бѣ̀, є҆́йже бѣ̀ и҆́мѧ ресфа̀, дще́рь і҆ѡ́лѧ. И҆ вни́де къ не́й а҆вени́ръ, и҆ речѐ і҆евосѳе́й сы́нъ саꙋ́ль ко а҆вени́рꙋ: что̀ ꙗ҆́кѡ вше́лъ є҆сѝ къ подло́жницѣ ѻ҆тца̀ моегѡ̀;	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
596	12	посѣщенїе	посѣще́нїе	unknown	untyped	проявление милости, 2. суд	synodal:candidate:3100329469b751681b4cad3d	synodal:candidate:60e71e689fdaccbf0c3b6690	Isa.24.22	И҆ соберꙋ́тъ собра́нїе є҆ѧ̀ и҆ затворѧ́тъ въ твє́рди и҆ въ тємни́цы: мно́зѣми рѡ́ды бꙋ́детъ посѣще́нїе и҆́хъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
597	12	праведно	пра́ведно	unknown	untyped	справедливо, по закону	synodal:candidate:5aa33e222a77192b55f9450d	synodal:candidate:79f77f4d840fc8c5077d9fe5	Deut.25.15	мѣ́рило и҆́стинно и҆ пра́ведно да бꙋ́детъ тебѣ̀, и҆ мѣ́ра и҆́стинна и҆ пра́ведна да бꙋ́детъ тебѣ̀, да мнѡ́ги дни̑ бꙋ́деши на землѝ, ю҆́же гдⷭ҇ь бг҃ъ тво́й дае́тъ тебѣ̀ въ жре́бїй,	blocked-ambiguous-homograph	multiple mixed-recension Ponomar dictionary identities share this headword; target identity, part of speech, and cell require contextual adjudication
598	12	праздновати	пра́здновати	unknown	untyped	пустовать, бездействовать	synodal:candidate:9f3a9cb19ecd4f6adff2ab33	synodal:candidate:1d82c84f36a7e126d2b60763	III_Macc.6.33	и҆ ѻ҆́бщїй ѡ҆предѣли́вше ѡ҆ си́хъ ᲂу҆ста́въ, во всѧ́цѣмъ преселе́нїи свое́мъ въ ро́ды, є҆́же бы предречє́нныѧ дни̑ пра́здновати въ весе́лїи, не питїѧ̀ ра́ди и҆ ꙗ҆де́нїѧ, но сп҃се́нїѧ ра́ди бы́вшагѡ и҆̀мъ ѿ бг҃а.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
599	12	притча	при́тча	unknown	untyped	уподобление, сравнение, образ, 2. иносказание, 3. пословица, изречение	synodal:candidate:2103b72c0fcf7c54d3876717	synodal:candidate:2f82e467401da17af9b8a30b	Ezek.12.22	сы́не человѣ́чь, ка́ѧ при́тча сїѧ̀ ва́мъ на землѝ і҆и҃левѣ, глаго́лющымъ: дѡ́лги дни̑, поги́бе всѧ́кое видѣ́нїе;	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
600	12	прокаженъ	прокаже́нъ	unknown	untyped	страдающий проказой	synodal:candidate:000f23872d3d7ad589889c88	synodal:candidate:26e0637656743886c397cb8e	II_Paral.26.20	И҆ ѡ҆брати́сѧ къ немꙋ̀ а҆за́рїа а҆рхїере́й и҆ свѧще́нницы, и҆ сѐ, то́й прокаже́нъ на челѣ̀ свое́мъ, и҆ и҆згна́ша є҆го̀ ѿтꙋ́дꙋ, и҆́бо и҆ са́мъ тща́шесѧ и҆зы́ти, ꙗ҆́кѡ ѡ҆бличѝ є҆го̀ гдⷭ҇ь.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
601	12	прокаженїе	прокаже́нїе	unknown	untyped	проказа, короста	synodal:candidate:3a6c2c4037bb1d368678dd6d	synodal:candidate:c31ccc4d05916f67ce82615c	Lev.13.12	А҆́ще же процвѣта́ѧ процвѣте́тъ прока́за на ко́жи, и҆ покры́етъ прокаже́нїе всю̀ ко́жꙋ ꙗ҆́звою, ѿ главы̀ до ногꙋ̀ є҆гѡ̀, по всемꙋ̀ взо́рꙋ жерцо́вꙋ:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
602	12	пшеница	пшени́ца	unknown	untyped	пшеница, 2. добрые, истинно верующие, благочестивые люди	synodal:candidate:9e69d45eb22b21cbcc2ceaba	synodal:candidate:05b48bf83434797bab01ff6d	Gen.41.35	и҆ да соберꙋ́тъ всѧ́кꙋю пи́щꙋ седмѝ лѣ́тъ грѧдꙋ́щихъ до́брыхъ си́хъ: и҆ да собере́тсѧ пшени́ца под̾ рꙋ́кꙋ фараѡ́ню, пи́ща во градѣ́хъ да храни́тсѧ:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
603	12	скончати	сконча́ти	unknown	untyped	завершить, исполнить	synodal:candidate:b584bca7d335266df4db8d5a	synodal:candidate:538d2ab1d5b1ca587202d569	Acts.20.24	Но ни є҆ди́но же попече́нїе творю̀, нижѐ и҆́мамъ дꙋ́шꙋ мою̀ че́стнꙋ себѣ̀, ра́звѣ є҆́же сконча́ти тече́нїе моѐ съ ра́достїю и҆ слꙋ́жбꙋ, ю҆́же прїѧ́хъ ѿ гдⷭа і҆и҃са, засвидѣ́тельствовати є҆ѵⷢ҇лїе блгⷣти бж҃їѧ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
604	12	слꙋга	слꙋга̀	unknown	untyped	исполняющий волю другого	synodal:candidate:5c68f6f22b3d374db41d22e1	synodal:candidate:8630f2ad4b8362299926d2f5	Heb.3.5	(Заⷱ҇ 308) И҆ мѡѷсе́й ᲂу҆́бѡ вѣ́ренъ бѣ̀ во все́мъ домꙋ̀ є҆гѡ̀, ꙗ҆́коже слꙋга̀, во свидѣ́тельство глаго́латисѧ и҆мѣ́вшымъ:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
605	12	сосцы	сосцы̀	unknown	untyped	соски, 2. водные источники	synodal:candidate:bd0ec2d02c4d432cd322c06e	synodal:candidate:92e712fea7e155cbfc2c188f	Ezek.16.7	ᲂу҆множа́йсѧ, ꙗ҆́коже прозѧбе́нїе се́льное да́хъ тѧ̀, и҆ ᲂу҆мно́жиласѧ є҆сѝ и҆ возвели́чиласѧ и҆ вошла̀ є҆сѝ во гра́ды градѡ́въ: сосцы̀ твоѝ возрасто́ша, и҆ вла́си твоѝ просвѣтлѣ́ша, ты́ же была̀ є҆сѝ нага̀ и҆ без̾ красы̀.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
606	12	сꙋпостатъ	сꙋпоста̑тъ	unknown	untyped	враждебный, 2. враг, противник, неприятель	synodal:candidate:0ff5a0189442e4365087a3d4	synodal:candidate:5a9b2e1897ed926039460be8	III_Macc.6.18	и҆ сопротивоста́ста, и҆ си́лꙋ сꙋпоста̑тъ и҆спо́лниста смѧте́нїѧ и҆ ᲂу҆́жаса, и҆ неподви́жными пꙋ̑ты свѧза́ста: та́кожде и҆ тѣ́ло ца́рское тре́петно бы́сть, и҆ забве́нїе де́рзость є҆гѡ̀ тѧ́жкꙋю ѡ҆б̾ѧ̀.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
607	12	тесть	те́сть	unknown	untyped	тесть, 2. всякий породнившийся мужчина, будь то зять, деверь, шурин и пр.	synodal:candidate:e877118c664fa263a87c479a	synodal:candidate:d74fcd90bccdd02212bc3092	Ex.18.1	Оу҆слы́ша же і҆оѳо́ръ, і҆ере́й мадїа́мскїй, те́сть мѡѷсе́овъ, всѧ̑, є҆ли̑ка сотворѝ гдⷭ҇ь і҆и҃лю свои̑мъ лю́демъ, ꙗ҆́кѡ и҆зведѐ гдⷭ҇ь і҆и҃лѧ и҆з̾ є҆гѵ́пта:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
608	12	хꙋсій	хꙋсі́й	unknown	untyped	друг Давида	synodal:candidate:52a7c72278d4a8075791ef01	synodal:candidate:5b2e8abcb7eb4d8ea79a1a2f	II_Kings.15.32	И҆ бѣ̀ даві́дъ грѧды́й да́же до рѡ́са, и҆дѣ́же поклони́сѧ бг҃ꙋ. И҆ сѐ, на срѣ́тенїе є҆мꙋ̀ (и҆зы́де) хꙋсі́й пе́рвый дрꙋ́гъ даві́довъ, растерза́въ ри̑зы своѧ̑, и҆ пе́рсть на главѣ̀ є҆гѡ̀.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
609	12	єлїезеръ	є҆лїезе́ръ	unknown	untyped	старший слуга Авраама	synodal:candidate:082caf2791a575e8fd16425f	synodal:candidate:0cc8ecdaef43a9bce42b0156	II_Paral.20.37	И҆ прⷪ҇ро́чествова є҆лїезе́ръ сы́нъ дѡді́а ѿ марїси́са на і҆ѡсафа́та, глаго́лѧ: поне́же воз̾имѣ́лъ є҆сѝ любо́вь со ѻ҆хозі́ею, сокрꙋшѝ гдⷭ҇ь дѣ́ло твоѐ, и҆ сокрꙋши́шасѧ корабли̑ твоѧ̑ и҆ не возмого́ша поитѝ во ѳарсі́съ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
610	12	єсевѡнъ	є҆севѡ́нъ	unknown	untyped	Есевон, город в Палестине	synodal:candidate:471f004c289d03db8231d463	synodal:candidate:ff52a9a26b43467178d935c1	I_Paral.6.81	и҆ є҆севѡ́нъ съ подгра́дными є҆гѡ̀, и҆ і҆ази́ръ съ подгра́дными є҆гѡ̀.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
611	12	іꙋдеанинъ	і҆ꙋде́анинъ	unknown	untyped	иудей	synodal:candidate:d60d86edbbcd5f6bfbd58669	synodal:candidate:9b015ffa49b60449d56cfd2d	Acts.19.34	Разꙋмѣ́вше же, ꙗ҆́кѡ і҆ꙋде́анинъ є҆́сть, гла́съ бы́сть є҆ди́нъ ѿ всѣ́хъ, ꙗ҆́кѡ на два̀ часа̑ вопїю́щихъ: вели́ка а҆ртемі́да є҆фе́сскаѧ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
612	12	ѡбновленїе	ѡ҆бновле́нїе	unknown	untyped	возрождение, новое создание, 2. иудейский праздник переосвящения Храма	synodal:candidate:f54e7a12a17e4600aba0fbb0	synodal:candidate:e00d7f0f86e4c2346dd36b3d	Dan.3.2	И҆ посла̀ (навꙋходоно́соръ ца́рь) собра́ти ѵ҆па́ты и҆ воевѡ́ды и҆ мѣстонача́льники, вожди̑ же и҆ мꙋчи́тєли, и҆ сꙋ́щыѧ на власте́хъ и҆ всѧ̑ кнѧ̑зи стра́нъ, прїитѝ на ѡ҆бновле́нїе кꙋмі́ра, є҆го́же поста́ви навꙋходоно́соръ ца́рь.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
613	12	ѡчистилище	ѡ҆чисти́лище	unknown	untyped	Святая Святых, алтарь Иерусалимского Храма	synodal:candidate:3c691e3426c0b10eb8c074e4	synodal:candidate:4e47a698a22f97c42588f04f	Amos.9.1	Ви́дѣхъ гдⷭ҇а стоѧ́ща на же́ртвенницѣ, и҆ речѐ: поразѝ ѡ҆чисти́лище, и҆ поколе́блютсѧ преддвє́рїѧ, и҆ пресѣцы̀ въ главы̑ всѣ́хъ: и҆ ѡ҆ста́вшыѧ и҆́хъ ѻ҆рꙋ́жїемъ и҆збїю̀, не ᲂу҆бѣжи́тъ ѿ ни́хъ бѣжа́й, и҆ не ᲂу҆цѣлѣ́етъ ѿ ни́хъ ᲂу҆цѣлѣва́ѧй:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
614	12	ѳарсісъ	ѳарсі́съ	unknown	untyped	Фарсис, правнук Ноя, 2. город	synodal:candidate:6ef0570901035c035b851e41	synodal:candidate:77fb423e9ce9378bc47a237b	Dan.10.6	тѣ́ло же є҆гѡ̀ а҆́ки ѳарсі́съ, лице́ же є҆гѡ̀ а҆́ки зрѣ́нїе мо́лнїи, ѻ҆́чи же є҆гѡ̀ а҆́ки свѣщы̀ ѻ҆́гнєны, и҆ мы̑шцы є҆гѡ̀ и҆ го́лєни а҆́ки зра́къ мѣ́ди блеща́щїѧсѧ, гла́съ же слове́съ є҆гѡ̀ а҆́ки гла́съ наро́да.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
615	12	ѳеманъ	ѳема́нъ	unknown	untyped	Феман, старший сын Елифаза	synodal:candidate:637845160856eea3233c3b66	synodal:candidate:5cbf4a01fc1049c719ef6f17	Gen.25.15	и҆ ходда́нъ и҆ ѳема́нъ, и҆ і҆етꙋ́ръ и҆ нафе́съ и҆ кедма̀.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
616	12	ѻво	ѻ҆́во	unknown	untyped	или, либо, то-то	synodal:candidate:ec8310c7a79dd56efe348959	synodal:candidate:e0fa3bc21b3c0a176b9946ca	Heb.10.33	ѻ҆́во ᲂу҆́бѡ, поноше́ньми и҆ скорбьмѝ позо́ръ бы́вше, ѻ҆́во же, ѡ҆́бщницы бы́вше живꙋ́щымъ та́кѡ:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
617	12	ѿдати	ѿда́ти	unknown	untyped	отдать, 2. прощать	synodal:candidate:eecac102373b915802b97fc4	synodal:candidate:47383df4f3aa01ffcf29ccaa	Eccles.5.3	А҆́ще ѡ҆бѣща́еши ѡ҆бѣ́тъ бг҃ꙋ, не ᲂу҆ме́дли ѿда́ти є҆го̀, ꙗ҆́кѡ нѣ́сть хотѣ́нїѧ въ безꙋ́мныхъ: ты̀ ᲂу҆̀бо, є҆ли̑ка а҆́ще ѡ҆бѣща́еши, ѿда́ждь.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
618	11	видомъ	ви́домъ	adjective	lexical-form	visible	synodal:candidate:fa022cf4980bfe92490635bd	synodal:candidate:6f0324579d33a6e2dab5b5a7	Gen.29.17	Ѻ҆́чи же лі̑ины болѣ́знєнны: рахи́ль же бѣ̀ добра̀ ви́домъ и҆ красна̀ взо́ромъ ѕѣлѡ̀.	blocked-ambiguous-homograph	surface belongs to multiple OCS lexeme paradigms; target identity must be resolved manually
619	11	авїаѳаръ	а҆вїа́ѳаръ	unknown	untyped	Авиафар, десятый первосвященник	synodal:candidate:46cb9666cefb83a1e005b281	synodal:candidate:fc4fb7a719f4d8b6cd30826d	III_Kings.2.22	И҆ ѿвѣща̀ ца́рь соломѡ́нъ и҆ речѐ ма́тери свое́й: вскꙋ́ю ты̀ про́сиши а҆вїса́ги сꙋмантѧны́ни а҆дѡ́нїи; є҆щѐ просѝ є҆мꙋ̀ и҆ ца́рства, ꙗ҆́кѡ то́й бра́тъ мо́й бо́льшїй менє̀, и҆ є҆мꙋ̀ а҆вїа́ѳаръ і҆ере́й, и҆ є҆мꙋ̀ і҆ѡа́въ сы́нъ сарꙋ́инъ воево́да дрꙋ́гъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
620	11	азѡтъ	а҆зѡ́тъ	unknown	untyped	Азот, город	synodal:candidate:9d426b912e06138fd954410b	synodal:candidate:bc21821f4afc001827e7d661	I_Kings.5.1	И҆ взѧ́ша и҆ноплемє́нницы кївѡ́тъ бж҃їй и҆ и҆знесо́ша є҆го̀ ѿ а҆венезе́ра во а҆зѡ́тъ:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
621	11	арамъ	а҆ра́мъ	unknown	untyped	Арам, сын Сима	synodal:candidate:db45655db2b52d4daa076008	synodal:candidate:950ec362665cd08fcd1ee315	Gen.10.22	Сы́нове си́мѡвы: є҆ла́мъ и҆ а҆ссꙋ́ръ, и҆ а҆рфаѯа́дъ и҆ лꙋ́дъ, и҆ а҆ра́мъ и҆ каїна́нъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
622	11	бездна	бе́здна	unknown	untyped	пучина морская, бездонная	synodal:candidate:9af31720ee239e02e37131be	synodal:candidate:0438adc019a2a48e3e2711ad	Ezek.31.15	Сїѧ̑ гл҃етъ а҆дѡнаі̀ гдⷭ҇ь: во́ньже де́нь сведе́сѧ во а҆́дъ, пла́касѧ ѡ҆ не́мъ бе́здна: и҆ ᲂу҆держа́хъ рѣ́ки є҆ѧ̀ и҆ возбрани́хъ мно́жествꙋ во́дъ, и҆ поме́рче ѡ҆ не́мъ лїва́нъ, и҆ всѧ̑ древеса̀ полєва́ѧ ѡ҆ не́мъ разсла́бишасѧ:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
623	11	ваалъ	ваа́лъ	unknown	untyped	Главное божество, или идол ханаанских народов, от которых служение ему переняли и евреи, что случилось очень рано, во времена Моисея. Под именем Ваала чтили солнце, как царя неба. Устрояли в честь его храмы или капища, ставили статуи (сем.&quot;господин&quot;)	synodal:candidate:bc7a3d065d8b2f583d1bd578	synodal:candidate:0b858c9178d0b9bb6d680c57	III_Kings.18.21	И҆ приведѐ ко всѣ̑мъ и҆̀мъ и҆лїю̀, и҆ речѐ и҆̀мъ и҆лїа̀: доко́лѣ вы̀ хра́млете на ѻ҆́бѣ плєснѣ̀ ва́шы; а҆́ще є҆́сть гдⷭ҇ь бг҃ъ, и҆ди́те в̾слѣ́дъ є҆гѡ̀: а҆́ще же ваа́лъ є҆́сть, то̀ и҆ди́те за ни́мъ. И҆ не ѿвѣща́ша лю́дїе словесѐ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
